No.;Time;Source;Destination;Protocol;Length;Info;;;;;;;;;;;;;;;time 2;time 1;delay 1;delay 2;jiter
118;180.876.577;3.235.82.191;192.168.43.133;TLSv1.2;249;Application Data;;;;;;;;;;;;;;;180.924.982;180.876.577;48405;3580410;3532005
119;180.924.982;192.168.43.133;3.235.82.191;TCP;54;49832  >  443 [ACK] Seq=1640 Ack=1366 Win=259 Len=0;;;;;;;;;;;;;;;184.505.392;180.924.982;3580410;160171;3420239
120;184.505.392;192.168.43.133;3.235.82.191;TLSv1.2;84;Application Data;;;;;;;;;;;;;;;184.665.563;184.505.392;160171;9479639;9319468
121;184.665.563;3.235.82.191;192.168.43.133;TCP;54;443  >  49832 [ACK] Seq=1366 Ack=1670 Win=6610 Len=0;;;;;;;;;;;;;;;194.145.202;184.665.563;9479639;146526;9333113
124;194.145.202;192.168.43.133;172.217.194.188;TCP;55;[TCP Keep-Alive] 50352  >  5228 [ACK] Seq=1 Ack=1 Win=257 Len=1;;;;;;;;;;;;;;;194.291.728;194.145.202;146526;16259533;16113007
125;194.291.728;172.217.194.188;192.168.43.133;TCP;54;[TCP Keep-Alive ACK] 5228  >  50352 [ACK] Seq=1 Ack=2 Win=706 Len=0;;;;;;;;;;;;;;;210.551.261;194.291.728;16259533;312124;15947409
126;210.551.261;192.168.43.133;3.235.82.191;TLSv1.2;271;Application Data;;;;;;;;;;;;;;;210.863.385;210.551.261;312124;5165;306959
127;210.863.385;192.168.43.133;3.235.82.191;TCP;271;[TCP Retransmission] 49832  >  443 [PSH, ACK] Seq=1670 Ack=1366 Win=259 Len=217;;;;;;;;;;;;;;;210.868.550;210.863.385;5165;216693;211528
128;210.868.550;3.235.82.191;192.168.43.133;TCP;54;443  >  49832 [ACK] Seq=1366 Ack=1887 Win=6617 Len=0;;;;;;;;;;;;;;;211.085.243;210.868.550;216693;0;216693
129;211.085.243;3.235.82.191;192.168.43.133;TCP;54;[TCP Dup ACK 128#1] 443  >  49832 [ACK] Seq=1366 Ack=1887 Win=6617 Len=0;;;;;;;;;;;;;;;211.085.243;211.085.243;0;43774;43774
130;211.085.243;3.235.82.191;192.168.43.133;TLSv1.2;249;Application Data;;;;;;;;;;;;;;;211.129.017;211.085.243;43774;1266182;1222408
131;211.129.017;192.168.43.133;3.235.82.191;TCP;54;49832  >  443 [ACK] Seq=1887 Ack=1561 Win=258 Len=0;;;;;;;;;;;;;;;212.395.199;211.129.017;1266182;62748;1203434
